element_id	longitude_deg	latitude_deg	depth_m	strike_deg	dip_deg	strike_slip_m	dip_slip_m	area_m2	shear_modulus_pa
1001	96.2182758354149	19.4290598168727	-9127.43365392599	172.164015851079	90.0398741404388	-3.7036873659885	0.113095537244667	6332957.71757961	24805668270.8632
1002	96.2205400910296	19.4138000681835	-9952.96273679218	172.207859119401	89.9427666830975	-3.47007734290763	0.133795585610843	6328750.77206651	25527372293.5691
1003	96.2117143162586	19.4748385483079	-9127.43365392599	172.276891089012	90.5359526817476	-3.71917161362083	0.0928068999295877	6332130.81821959	24805668270.8632
1004	96.2140173006367	19.4595789161027	-9952.96273679218	172.321807367527	90.3751392076779	-3.5522073079321	0.112583889111466	6327736.17353915	25527372293.5691
1005	96.2052439718305	19.5206167536095	-9127.43365392599	172.380289052892	90.9940895014548	-3.60544613155944	0.0700894802643684	6331592.92367423	24805668270.8632
1006	96.2075809395352	19.5053572442032	-9952.96273679218	172.424492335164	90.8594959178315	-3.48521262773883	0.0910208881958838	6327190.74573739	25527372293.5691
1007	96.1988658087585	19.5663944393825	-9127.43365392599	172.490676745726	91.4621199351217	-3.52423893661685	0.0640190936017313	6331302.42074441	24805668270.8632
1008	96.2012316154527	19.5511350588787	-9952.96273679218	172.518971840334	91.2728746026241	-3.37526448564814	0.0749213075274804	6326996.55282041	25527372293.5691
1009	96.1925788223736	19.6121716139015	-9127.43365392599	172.59962472171	91.8892777097726	-3.43261119607085	0.037326931853843	6331273.46948603	24805668270.8632
1010	96.1949693111196	19.5969123670594	-9952.96273679218	172.624282535764	91.7105500347217	-3.3014782757054	0.0635300199767584	6327038.31391064	25527372293.5691
1011	96.1863803139641	19.6579482865343	-9127.43365392599	172.707833323723	92.2981645591679	-3.12405729121301	-0.0846479860819778	6331575.05372131	24805668270.8632
1012	96.1887934196214	19.6426891760791	-9952.96273679218	172.730160909429	92.1389846602584	-3.09061133678353	-0.0111926206465262	6327253.53508742	25527372293.5691
1013	96.1802670663459	19.7037244666137	-9127.43365392599	172.812504258269	92.661214723219	-2.86404063450894	-0.23268800400763	6332302.25209256	24805668270.8632
1014	96.1827031757065	19.688465493259	-9952.96273679218	172.835342395018	92.5317581053712	-2.7466018332079	-0.157024398120656	6327657.70875191	25527372293.5691
1015	96.1742370174568	19.7495001622016	-9127.43365392599	172.922110808693	93.0851129360709	-2.70276411443391	-0.300966394310235	6333539.03959865	24805668270.8632
1016	96.1766984515946	19.7342413253209	-9952.96273679218	172.940920936009	92.8883701117233	-2.5836029571535	-0.255693938065897	6328334.67192185	25527372293.5691
1017	96.168290753342	19.7952753792939	-9127.43365392599	173.025984502166	93.4390831953178	-2.64606858297695	-0.302123700315379	6335331.80792005	24805668270.8632
1018	96.1707806407543	19.7800166778922	-9952.96273679218	173.049121375353	93.2505809948881	-2.48144104635685	-0.27312291986599	6329401.32215686	25527372293.5691
1019	96.162432213836	19.8410501218002	-9127.43365392599	173.136380581756	93.8259900689959	-2.84922788237709	-0.235330182786999	6337680.25454109	24805668270.8632
1020	96.1649532518387	19.8257915553615	-9952.96273679218	173.163040418298	93.6415671745966	-2.59376909444056	-0.239700145128771	6330965.30724489	25527372293.5691
1021	96.1566684204661	19.8868243922263	-9127.43365392599	173.256287546319	94.2479190184386	-3.21219377322948	-0.111355711929177	6340540.80414133	24805668270.8632
1022	96.1592219580679	19.8715659611685	-9952.96273679218	173.286271193641	94.0609492897853	-2.91959281904294	-0.140050537175801	6333092.16830575	25527372293.5691
1023	96.1510084386032	19.9325981927214	-9127.43365392599	173.39220388614	94.68356877116	-3.45686460999337	-0.00606315702388809	6343840.01095546	24805668270.8632
1024	96.1535941033929	19.9173398984075	-9952.96273679218	173.432647024295	94.4393186399467	-3.22499474874724	-0.0285796184903591	6335790.03698419	25527372293.5691
1025	96.1454619291731	19.9783715261349	-9127.43365392599	173.531735249566	95.1677950999288	-3.45058532252044	0.0197526946650088	6347498.32968791	24805668270.8632
1026	96.1480778219739	19.9631133705374	-9952.96273679218	173.568776669615	94.9204589842412	-3.30605350812716	0.0241676209543044	6339014.02601764	25527372293.5691
1027	96.1400376303987	20.0241443968301	-9127.43365392599	173.679563800994	95.6462280815129	-3.2939451460424	-0.0338606614587815	6351460.29422356	24805668270.8632
1028	96.142680968409	20.0088863820207	-9952.96273679218	173.705863416489	95.3666560791655	-3.19695730823046	-0.00351328703549401	6342688.90370171	25527372293.5691
1029	96.1347420013868	20.0699168111459	-9127.43365392599	173.835404060762	96.128726161586	-3.23692988876301	-0.105956489036541	6355729.99407918	24805668270.8632
1030	96.1374100630914	20.0546589387594	-9952.96273679218	173.857378336688	95.848486014344	-3.07714952448908	-0.0746947620759086	6346743.70335212	25527372293.5691
1031	96.1295782265294	20.1156887774684	-9127.43365392599	173.993746582334	96.5998833512976	-3.27348763558785	-0.138505206749813	6360396.1102574	24805668270.8632
